ID	target	implied_statement
524408721473306625	minority groups	people in minority groups are all in gangs
524408721473306625	Black people	Black people are violent
394530795580174337	non-white people	non-white people are dangerous
394530795580174337	white people	White people are in danger.
794539075164401666	Immigrants	Immigrants are undesirable
901162469992808448	Anti-whites	Anti-whites hate white people
901162469992808448	Progressives	Progressives despise whites.
911282139706007553	Capitalists	Capitalists don't like white people.
911282139706007553	Communists	Communists are threatening the white race.
900385822314303488	Democrats	Democrats are manipulative liars.
888774168677830656	Islamists	Islamists hate Jews
888774168677830656	Muslims	Muslims are anti-jews
888774168677830656	Muslims	Muslims are anti-Jewish
898464422129283072	Pakistani people	Pakistani people are dangerous.
898464422129283072	Pakistanis	Pakistanis are rapists
900034622955954176	BLM	BLM is violent.
900034622955954176	Black people	Black people are dangerous
804125889600569344	Immigrants	Immigrants are inferior
804125889600569344	Immigrants	Immigrants are illegally in this country
907793198331940864	white people	White people are better than other races.
907793198331940864	Black people	Black people are aggressors
933183060660457473	Minorities	Minorities want to take over the world.
691630939844300802	whites	racism towards whites
919281555247267841	white people	White people are in trouble.
919281555247267841	Minorities	Minorities are overrunning the cities.
278381460593967104	White people	White people are too smart to be fooled.
278381460593967104	Minorities	Minorities are dishonest
796571461939036160	Minorities	Minorities are substandard people
796571461939036160	white people	White people are friendly.
946400251614818304	Whites	Whites are racists
946400251614818304	Minorities	Minorities hold double standards
306083456314654720	Muslims	Muslims are violent.
306083456314654720	Muslims	Muslims are devious
926987909533786114	Jews	Jews hate white people.
926987909533786114	Jews	Jews hate whites
894764535310974976	white people	White people can do more than Mexicans.
894764535310974976	Mexicans	Mexicans are incompetent.
897994046773317633	non-white people	non-white people are inferior
875146959283142656	white people	White people are dangerous.
875146959283142656	Minorities	Minorities are criminals.
899698464208035842	Blacks	Blacks are hypocrites
899698464208035842	white people	White people are not racist.
768890255638355972	non-white people	non-white people are the real racists
768890255638355972	minorities	minorities are racist
554752494367428608	Blacks, northerners and jews	Blacks, northerners and jews pretend to be superior
554752494367428608	Jews	Jews are devious
823332327455686657	white people	White people are stupid.
673208854893563904	Arabians	Arabians are criminals.
673208854893563904	Arabs	Arabs are terrorists
912129216367529984	black athletes	Black athletes are paid too much.
912129216367529984	Blacks	Blacks get a free ride
892862942177357825	white people	White people want to be black.
892862942177357825	white people	white people have no culture
691834584967811072	Mexicans	Mexicans are morally weak.
691834584967811072	Mexicans	Mexicans are good people.
556124359883243522	Minorities	Minorities are pushing out whites
556124359883243522	white people	White people are losing their homes.
924711545166286849	Whites	Whites are heathens
924711545166286849	white people	White people are outsiders.
670674154069368832	Jews	Jews are devious
670674154069368832	Jews	Jews practice witchcraft
922323832140062721	non-white people	non-white people are inferior
922323832140062721	black people	Black people can do more than white people.
868630145761980417	immigrants	immigrants add to America
929788257017237504	Jews	Jews are money grubbers
929788257017237504	Jews	Jews are greedy.
819638326147825664	Progressives	Progressives mischaracterize whites
883868359032528897	white people	White people should be proud of their race.
883868359032528897	Jews	Jews are inferior
924671196355948544	white people	White people are trash.
924671196355948544	Whites	Whites are substandard
832965396475080704	non-white people	non-white people are criminals
832965396475080704	Journalists	Journalists are dishonest liars.
860526417272074240	Immigrants	Immigrants are invading America
896477868133429248	Muslims	Muslims are violent
896477868133429248	Muslims	Muslims are violent.
843072923162365952	Blacks	Blacks steal whites property.
750456681281105920	white people	White people are superior.
750456681281105920	Minorities	Minorities are substandard people
834842985699299328	Minorities	Minorities are opposed to whites
761411186940272640	Gays	Gays are abnormal.
937121194884718592	Minorities	Minorities are subpar human beings
728645539592429568	white people	White people don't like non-white people.
728645539592429568	Immigrants	Immigrants want absolute control
210857835964276737	jews	jews hate white people
210857835964276737	Jews	Jews hate white people.
645421136176631809	conservative men	conservative men are not masculine
847001427520172033	white people	white people are hypocrites
847001427520172033	White people	White people don't like diversity.
918947790432210945	Blacks	Blacks are low quality.
939534450320445440	non-white people	non-white people are a threat
939534450320445440	white people	White people are trash.
662601824726335488	Minorities	Minorities are inferior.
662601824726335488	non-white people	non-white people are inferior
930227946115227649	Minorities	Minorities accuse whites falsely
930227946115227649	white people	White people get killed.
905289097723379712	Minorities	Minorities are inferior to the white race
430533369454022656	Arabs	Arabs are evil and hate white people
430533369454022656	Arabs	Arabs torments White people
935491956603543553	Black people	Black people are whiners
935491956603543553	Blacks	Blacks are dishonest and devious.
395258341296852992	non-white people	non-white people are inferior
395258341296852992	white people	white people are good.
932365718351474688	whites	whites are racists
205375765045460992	white people	White people need to unite.
205375765045460992	People of Color	People of Color are an intrinsic threat to so-called white patriots.
899133398270201856	Jews	Jews are bad.
899133398270201856	Jews	Jews want to wipe out the white race.
855848690409517056	white people	White people are dying out.
855848690409517056	Minorities	Minorities are destroying the white race
880639599583911936	non-white people	non-white people are coddled
880639599583911936	white people	White people are restricted by other groups.
596359540104245248	feminists	Feminists hate white people.
596359540104245248	feminists	feminists are racist
926581592801374208	non-white people	non-white people want to replace white people
926581592801374208	Progressive whites	Progressive whites are racist to their own race.
727184052730617856	non-white	Non-white people are rapists.
727184052730617856	non-white people	non-white people dilute the gene pool
274250597383938048	non-white people	non-white people are a threat
274250597383938048	Minorities	Minorities are out to get whites.
902968402888798209	white people	White people aren't paying attention.
902968402888798209	Whites	Whites are self-destructive.
453269629713272834	Gays	Gays are abnormal
871799604953665536	white people	White people are snowflakes.
871799604953665536	White men	White men are sensitive
623945033998315520	Minorities	Minorities have double standards
623945033998315520	white people	White people are unfairly discriminated against by the law
425049831778709504	white people	White people are disadvantaged.
425049831778709504	non-white people	non-white people oppressing whites
867047186944622592	Jews	Jews are devious
921154303615569920	non-white people	non-white people are a threat
921154303615569920	Minorities	Minorities attack whites.
730774790689161217	Conservatives	Conservatives are racists.
298127562578722818	Muslim immigrants	Muslim immigrants assault whites
298127562578722818	Muslims	Muslims are attacking white people.
924659617329754112	media	media biased against South Africans
915785026461106176	Minorities	Minorities are wiping out the white race
915785026461106176	white people	White people are in danger.
919860642420482048	Minorities	Minorities are less than whites
253090267832389632	non-white people	non-white people are oppressors
876627511458881536	People of color	People of color are inferior to white people
876627511458881536	non-white people	non-white people want to replace white people
901274477513895937	gay people	gay people want special treatment.
841327560789172224	Black people	Black people are lazy
841327560789172224	black people	Black people depend on welfare.
796865466245353472	Whites	Whites are racists
913483100226699264	Minorities	Minorities are second class races.
281122160150466560	Blacks	Blacks are violent and dangerous
281122160150466560	Liberals	Liberals are blind to facts.
888029976976556032	white people	White people should be investigated.
888029976976556032	Minorities	Minorities oppress whites
560658222433185797	Muslims	Muslims hate Jews
560658222433185797	Muslim people	Muslim people hate Jewish people.
644596803342626819	white people	White people are oppressed.
644596803342626819	Minorities	Minorities get special treatment.
579068752668467200	Minorities	Minorities are third class races.
579068752668467200	white people	White people were the original race.
750337769520582657	migrants	Migrants are rapists.
750337769520582657	Immigrants	Immigrants commit juvenile rapes
727171698945064962	Israelis	Israelis get special treatment from GOP.
727171698945064962	Jews	Jews are inferior.
598903288432435200	white people	White people can't say what they are thinking.
598903288432435200	Minorities	Minorities blame whites unfairly.
699750297560879104	old white men	Old white men are racist.
699750297560879104	Minorities	Minorities are wiping out whites
875595429739544576	white people	White people should survive.
875595429739544576	Minorities	Minorities are subpar races
916134738951147520	Minorities	Minorities are inferior to whites
722940559736721409	white people	Only white people should be president.
722940559736721409	non-white people	non-white people are inferior
454082550751719424	non-white people	non-white people are inferior
454082550751719424	Minorities	Minorities are subpar human beings
822989353836281856	Minorities	Minorities are prejudiced
822989353836281856	white people	White people are fascists.
946668532036595713	Immigrants	Immigrants are criminals
946668532036595713	Immigrants	Immigrants are violent law breakers
514431947032911874	Black people	Black people are unsophisticated
514431947032911874	Minorities	Minorities are incompetent
347876233557704704	Jews	Jews are subversive
347876233557704704	Jews	Jews are anti-whites
908911703139680256	white people	White people are evil.
908911703139680256	Whites	Whites are evil.
931963291999592449	Minorities	Minorities oppress whites
889610317097050112	Middle-Easterners	Middle-Easterners are substandard people
201017137668698113	Progressives	Progressives are ignorant
201017137668698113	Liberals	Liberals think that white people are privileged.
293580107300343808	Jewish people	Jewish people consider themselves better than white people despite being white
916507763282341888	Minorities	Minorities are second class citizens.
916507763282341888	white people	America is a white country.
188308299324731394	Blacks	Blacks are brutal and savage killers.
188308299324731394	blacks in South Africa	Blacks in South Africa kill whites.
916548687479955456	white people	White people are important.
916548687479955456	White people	White people's lives aren't valued
745834690075066371	Immigrants	Immigrants want to take over
916415417144496128	non-whites	Non-whites don't like white people.
916415417144496128	Minorities	Minorities are racist
856893544312786945	white people	White people are racist.
856893544312786945	Minorities	Minorities are incapable of leadership
829370256133074944	Minorities	Minorities are inferior races
917391418032836609	Jewish people	Jewish people are violent and trying to take over the world
917391418032836609	jews	jews are warmongers
903844031041593344	Conservative males	Conservative males are impotent and weak
826672614118715392	black people	Black people are bad.
826672614118715392	Blacks	Blacks are heathens
726128316084838400	Latinos	Latinos in the US are not patriotic
774041959090442240	Muslims	Muslims are radicals
774041959090442240	Muslims	Muslims are powerless.
921117968641220608	white people	White people understand white people.
921117968641220608	Minorities	Minorities are inferior to whites
442150187016785920	Minorities	Minorities are in favor of killing whites.
442150187016785920	nationalists	Nationalists are white.
924277232767524864	BLM	BLM is full of hate.
924277232767524864	Leftists	Leftists are brutal and barbarous
918922735044116480	White Antifa members	Enjoy a multicultural America.
918922735044116480	White people	White people are two faced and don't really want more people of color in America
734233802835300352	People of color	People of color are inferior because they are not white
933120977092927489	white people	White people need to leave Africa.
933120977092927489	Black people	Black people are dangerous
897920912103620608	Whites	Whites are separatists
897920912103620608	white nationalists	whites feel superior
861831595988324352	white folks	whites are racists
861831595988324352	Southerners	Southerners promote division.
888863796948865025	white people	White people don't like other white people.
888863796948865025	Whites	Whites are violent
823196622540546048	Immigrants	Immigrants are savage criminals.
823196622540546048	immigrants	illegal immigration is dangerous
826057300771270656	white people	White people shouldn't be sorry.
826057300771270656	Minorities	Minorities want to disgrace whites.
925003267263918085	Minorities	Minorities are looking to wipe out white culture.
358992147602604033	Muslims	Muslim people can kill others.
358992147602604033	Muslims	Muslims are violent people who hate anyone who is not a Muslim
712788984951275520	Muslims	Muslims are threatening
712788984951275520	Muslims	Muslims are threatening.
741991989437169664	white people	White people are racist.
741991989437169664	White people	White people are racists
905889099021778944	Jews	Jews are given special privilege
905889099021778944	Israelis	Israelis are racist.
505900431374319616	White people	White people are racists
505900431374319616	Minorities	Minorities are prejudiced towards whites.
251068291668402178	non-believers	Non-believers aren't moral.
251068291668402178	Non-muslims	Non-Muslims are immoral
467357715489361920	white people	White people are privileged.
467357715489361920	Progressives	Progressives are ignorant.
6424981541	Illegals	Illegals don't contribute to society.
6424981541	illegal immigrants	Illegal immigrants are good for the economy.
704760851367137280	non-white people	non-white people are inferior
704760851367137280	White people	White people either are white supremacists or in support of immigrants
901428290967285761	Democrats	Democrats have destroyed white people and their identity
