post	target	implied_statement
" rt  "" white privilege "" "" is when the gun jams of the gang banger trying to kill you . #fergusonoctober """	minority groups	people in minority groups are all in gangs
" rt  "" white privilege "" "" is when the gun jams of the gang banger trying to kill you . #fergusonoctober """	Black people	Black people are violent
if you are white in that state watch yourself !	non-white people	non-white people are dangerous
if you are white in that state watch yourself !	white people	White people are in danger.
so the 500 % increase in h1b visas ? yeah i'm sure that will win over voters .	Immigrants	Immigrants are undesirable
" rt antiwhites expose their hatred of white kids after seeing this picture . white child =  "" white supremacy "" "" """	Anti-whites	Anti-whites hate white people
" rt antiwhites expose their hatred of white kids after seeing this picture . white child =  "" white supremacy "" "" """	Progressives	Progressives despise whites.
capitalism  like communism  is an enemy of the white race .	Capitalists	Capitalists don't like white people.
capitalism  like communism  is an enemy of the white race .	Communists	Communists are threatening the white race.
dems have also invented a vast black / white right wing nationalist uncle tom conspiracy  a 1000 legged centipede monster	Democrats	Democrats are manipulative liars.
" more anti-jew hate from  "" nothing to do with islam "" "" """	Islamists	Islamists hate Jews
" more anti-jew hate from  "" nothing to do with islam "" "" """	Muslims	Muslims are anti-jews
" more anti-jew hate from  "" nothing to do with islam "" "" """	Muslims	Muslims are anti-Jewish
pakistani sex-gang attacks covered up for fear of racism #swrm via	Pakistani people	Pakistani people are dangerous.
pakistani sex-gang attacks covered up for fear of racism #swrm via	Pakistanis	Pakistanis are rapists
" rt :  "" black lives matter & antifa can show up with mace  acid & baseball bats "" "" .. while your far right romp u """	BLM	BLM is violent.
" rt :  "" black lives matter & antifa can show up with mace  acid & baseball bats "" "" .. while your far right romp u """	Black people	Black people are dangerous
yo  c'mon back you little illegal aliens . we still got lots of us-born suckers we can smash out of line to make room	Immigrants	Immigrants are inferior
yo  c'mon back you little illegal aliens . we still got lots of us-born suckers we can smash out of line to make room	Immigrants	Immigrants are illegally in this country
in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !	white people	White people are better than other races.
in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !	Black people	Black people are aggressors
soon  white people will not be a majority anywhere . you believe	Minorities	Minorities want to take over the world.
populist = american . so racist is code for anti-white  populist = american . as opposed to rentier transients .	whites	racism towards whites
good ! man i'd hate to be a native born white in any of those cities .	white people	White people are in trouble.
good ! man i'd hate to be a native born white in any of those cities .	Minorities	Minorities are overrunning the cities.
it is like calling people a witch . one day white people won't fall for it	White people	White people are too smart to be fooled.
it is like calling people a witch . one day white people won't fall for it	Minorities	Minorities are dishonest
i like is explicitly pro-white . they are polite about it but they are pro-white . is also a good group .	Minorities	Minorities are substandard people
i like is explicitly pro-white . they are polite about it but they are pro-white . is also a good group .	white people	White people are friendly.
do you disavow all of these ? btw there's tons for every other race too besides blacks . if you don't disavow all of these you're anti-white	Whites	Whites are racists
do you disavow all of these ? btw there's tons for every other race too besides blacks . if you don't disavow all of these you're anti-white	Minorities	Minorities hold double standards
" hate crime hoax in austria : muslims set fire to their own business and leave  "" racist "" "" graffiti to mislead inve ... """	Muslims	Muslims are violent.
" hate crime hoax in austria : muslims set fire to their own business and leave  "" racist "" "" graffiti to mislead inve ... """	Muslims	Muslims are devious
you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !	Jews	Jews hate white people.
you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !	Jews	Jews hate whites
yes you are fine in a white majority country . how is mexico doing these days ? you people come here because you couldn't build it .	white people	White people can do more than Mexicans.
yes you are fine in a white majority country . how is mexico doing these days ? you people come here because you couldn't build it .	Mexicans	Mexicans are incompetent.
white identity is timelesa	non-white people	non-white people are inferior
do you think those bars on the windows are to keep out all the white people ?	white people	White people are dangerous.
do you think those bars on the windows are to keep out all the white people ?	Minorities	Minorities are criminals.
" oh yeah thats not white geocide at all . not anti white racist at all . imagine saying  "" raising black families is dangerous . "" "" "" "" ali families . "" "" """	Blacks	Blacks are hypocrites
" oh yeah thats not white geocide at all . not anti white racist at all . imagine saying  "" raising black families is dangerous . "" "" "" "" ali families . "" "" """	white people	White people are not racist.
" no ! remember  hate means  "" white hate "" ""  racism means "" "" white racism "" "" & hillary is innocent no matter what . """	non-white people	non-white people are the real racists
" no ! remember  hate means  "" white hate "" ""  racism means "" "" white racism "" "" & hillary is innocent no matter what . """	minorities	minorities are racist
selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...	Blacks, northerners and jews	Blacks, northerners and jews pretend to be superior
selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...	Jews	Jews are devious
no  not them . they're on the stupid side of the spectrum  but they're not vocal white power enthusiasts ( etc ) .	white people	White people are stupid.
" 15 of the 19 hijackers were saudi arabia.saudi arabia is our  "" ally "" "" """	Arabians	Arabians are criminals.
" 15 of the 19 hijackers were saudi arabia.saudi arabia is our  "" ally "" "" """	Arabs	Arabs are terrorists
: and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is really paying	black athletes	Black athletes are paid too much.
: and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is really paying	Blacks	Blacks get a free ride
white people pretending to be blackfify	white people	White people want to be black.
white people pretending to be blackfify	white people	white people have no culture
mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !	Mexicans	Mexicans are morally weak.
